序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
61,600439,瑞贝卡,2026-06-04,买一主买，成功率50.83%,2.88,9.9237,7442451.0,80719359.0,73276908.0,153996267.0,427541810,1.740753962753,36.018995896565,8.5781,3260118067.2,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
62,600549,厦门钨业,2026-06-04,2家机构买入，成功率47.15%,63.73,6.199,1194241861.35,4063687888.07,2869446026.72,6933133914.79,19854085966,6.015093635613,34.920438677776,8.1601,99032085085.4,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
63,600599,退市熊猫,2026-06-04,卖一主卖，成功率29.22%,0.48,-4.0,-63788.1200000001,1145938.0,1209726.12,2355664.12,3213665,-1.984902595635,73.301483508704,3.9728,79680000.0,退市整理的证券,,,,
64,600636,退市国化,2026-06-04,普通席位卖出，成功率51.86%,1.9,-6.4039,1236068.49,12405445.52,11169377.03,23574822.55,69910311,1.768077515776,33.721524354254,8.3729,833409923.8,退市整理的证券,,,,
65,600636,退市国化,2026-06-04,普通席位卖出，成功率39.46%,1.9,-6.4039,16102231.37,34636544.14,18534312.77,53170856.91,192221216,8.376927222227,27.661284230977,8.3729,833409923.8,非ST、*ST和S证券连续三个交易日内收盘价格跌幅偏离值累计达到20%的证券,,,,
66,600667,太极实业,2026-06-04,买一主买，成功率47.93%,16.36,10.0202,74354079.5599999,1392791476.48,1318437396.92,2711228873.4,14259563501,0.521433068795,19.013407200086,9.2423,34217630032.08,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
67,600688,上海石化,2026-06-04,浙江资金买入，成功率52.45%,3.38,10.0977,145681669.76,289704392.68,144022722.92,433727115.6,733309095,19.86633886765,59.146561601012,2.398,24771389630.0,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
68,600688,上海石化,2026-06-04,买一主买，成功率49.98%,3.38,10.0977,108265382.2,243700584.12,135435201.92,379135786.04,593907505,18.229333909495,63.83751389705,2.398,24771389630.0,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,
69,600696,退市岩石,2026-06-04,普通席位买入，成功率39.39%,0.69,9.5238,828862.45,1509339.71,680477.26,2189816.97,2835780,29.228728956407,77.220975181432,1.2911,230783907.39,退市整理的证券,,,,
70,600696,退市岩石,2026-06-04,普通席位买入，成功率38.08%,0.69,9.5238,868706.0,2360110.0,1491404.0,3851514.0,9964696,8.717837453345,38.651595593082,1.2911,230783907.39,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,
71,600696,退市岩石,2026-06-04,普通席位买入，成功率39.39%,0.69,9.5238,828862.45,1509339.71,680477.26,2189816.97,2835780,29.228728956407,77.220975181432,1.2911,230783907.39,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,
