代码,名称,标的,行业,最新价,涨跌幅,成交额亿,换手率,三重滤网,长趋势,RSI,短突破,买点数,买点,状态,操作分层,评分,K线日期
000767,晋控电力,000767.XSHE,电力公用事业,5.57,-8.84,23.95,14.36,hold,up,62.5,none,1,买点11: 多周期共振,NORMAL,观察确认,3,2026-06-03
688515,裕太微-U,688515.XSHG,集成电路,247.31,13.97,22.81,18.34,consider_buy,up,59.8,up,1,买点3: 二次测试,NORMAL,高位加速，只等回落,3,2026-06-03
600105,永鼎股份,600105.XSHG,通信设备,54.34,9.51,69.11,8.93,consider_buy,up,50.7,up,0,,NORMAL,高位加速，只等回落,2,2026-06-03
688313,仕佳光子,688313.XSHG,通信设备,173.12,12.05,42.49,5.71,consider_buy,up,46.5,up,0,,NORMAL,高位加速，只等回落,2,2026-06-03
300323,华灿光电,300323.XSHE,光电子器件,17.48,14.7,21.51,10.97,consider_buy,up,55.0,up,0,,NORMAL,高位加速，只等回落,2,2026-06-03
300302,同有科技,300302.XSHE,电脑存储与外围设备,55.93,20.0,33.21,17.21,consider_buy,up,62.4,up,1,买点11: 多周期共振,LIMIT_UP,涨停观察，不追,0,2026-06-03
600584,长电科技,600584.XSHG,集成电路,82.89,10.01,158.52,10.97,hold,up,76.3,none,1,买点11: 多周期共振,LIMIT_UP,涨停观察，不追,-1,2026-06-03
000100,TCL科技,000100.XSHE,光电子器件,4.87,9.93,73.7,7.98,consider_buy,up,67.1,up,0,,LIMIT_UP,涨停观察，不追,-1,2026-06-03
601869,长飞光纤,601869.XSHG,通信设备,449.61,10.0,45.84,2.56,consider_buy,up,58.5,up,1,买点6: 趋势线+关键点位突破,LIMIT_UP,涨停观察，不追,-1,2026-06-03
605358,立昂微,605358.XSHG,分立器件,59.22,9.99,21.6,5.54,hold,up,61.2,none,1,买点11: 多周期共振,LIMIT_UP,涨停观察，不追,-1,2026-06-03
600172,黄河旋风,600172.XSHG,非金属材料与制品,15.29,10.0,31.0,16.77,hold,up,68.3,none,1,买点11: 多周期共振,LIMIT_UP,涨停观察，不追,-2,2026-06-03
002156,通富微电,002156.XSHE,集成电路,70.22,9.99,54.42,5.19,hold,up,65.2,none,1,买点3: 二次测试,LIMIT_UP,涨停观察，不追,-3,2026-06-03
