序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,tag,source,涨停价,涨速,振幅
85,002136,安 纳 达,10.015897750854492,13.84,141193593,2968067718.4,2975876800.0,4.869675636291504,36973560.0,101809,101809,0,1/1,1.0,化学原料,涨停,akshare:stock_zt_pool_em,,,
86,600226,亨通股份,10.0,8.25,1963585920,24538645098.0,24538645164.0,8.222644805908203,73494861.0,101847,103802,2,1/1,1.0,电力,涨停,akshare:stock_zt_pool_em,,,
87,002301,齐心集团,10.05434799194336,8.1,264868953,5815720806.3,5842594281.599999,4.675356864929199,10291860.0,102136,111409,3,1/1,1.0,文娱用品,涨停,akshare:stock_zt_pool_em,,,
88,300570,太辰光,20.002161026000977,222.1,6444531712,42686020435.799995,50444877160.7,15.73178482055664,400516927.0,102212,102212,0,1/1,1.0,通信设备,涨停,akshare:stock_zt_pool_em,,,
89,002745,木林森,9.978541374206543,10.25,958288544,10906912291.0,15212705600.0,8.992914199829102,17175925.0,102303,141912,9,1/1,1.0,光学光电,涨停,akshare:stock_zt_pool_em,,,
90,688757,胜科纳米,20.0,50.76,712039328,9198744813.72,20472091130.88,8.010856628417969,61252396.0,102526,110538,1,1/1,1.0,专业服务,涨停,akshare:stock_zt_pool_em,,,
91,600176,中国巨石,9.997596740722656,45.77,7018074624,183223568040.56,183223568406.72,3.9383938312530518,114681449.0,102811,104635,2,1/1,1.0,玻璃玻纤,涨停,akshare:stock_zt_pool_em,,,
92,000811,冰轮环境,10.009750366210938,33.85,1515328352,33118693801.850002,33595379758.4,4.673308372497559,24408388.0,102848,142130,21,1/1,1.0,通用设备,涨停,akshare:stock_zt_pool_em,,,
93,603327,福蓉科技,9.989701271057129,10.68,318816752,11165505964.8,11165505964.8,2.941545248031616,20583531.0,103018,103018,0,1/1,1.0,消费电子,涨停,akshare:stock_zt_pool_em,,,
94,603629,利通电子,10.003286361694336,167.37,5321594368,43186648470.0,43904498400.0,12.595695495605469,118747341.0,103134,141740,3,1/1,1.0,消费电子,涨停,akshare:stock_zt_pool_em,,,
95,002664,信质集团,10.028169631958008,19.53,192379618,7862310998.64,7972146000.0,2.5137460231781006,17701992.0,103215,103215,0,1/1,1.0,汽车零部,涨停,akshare:stock_zt_pool_em,,,
96,002913,奥士康,10.003572463989258,61.58,450437504,18577773014.92,19543060328.96,2.498769760131836,41949466.0,103542,103542,0,3/2,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
97,603407,长裕集团,10.009624481201172,57.15,346036944,2052370342.8,23310069508.8,17.249446868896484,6942239.0,104007,141431,10,1/1,1.0,化学原料,涨停,akshare:stock_zt_pool_em,,,
98,002990,盛视科技,10.008896827697754,49.46,379931728,6826398125.9800005,12951206745.48,5.702348709106445,94102596.0,104521,104521,0,1/1,1.0,计算机设,涨停,akshare:stock_zt_pool_em,,,
99,605058,澳弘电子,9.994583129882812,40.61,176756669,5804141609.5,5804141609.5,3.134219169616699,68395362.0,104544,104544,0,1/1,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
100,605376,博迁新材,9.999435424804688,194.71,2083678112,50936136000.0,50936136000.0,4.169900894165039,28064331.0,104729,110902,9,1/1,1.0,金属新材,涨停,akshare:stock_zt_pool_em,,,
101,002080,中材科技,9.996769905090332,68.11,3687548144,114296997306.24,114296997306.24,3.3097875118255615,75876651.0,104821,133351,19,1/1,1.0,玻璃玻纤,涨停,akshare:stock_zt_pool_em,,,
102,603085,天成自控,9.96592903137207,12.91,145492180,5126561000.0,5126561000.0,2.924943447113037,35931757.0,105443,105443,0,1/1,1.0,汽车零部,涨停,akshare:stock_zt_pool_em,,,
103,002635,安洁科技,10.025219917297363,17.45,625530912,6902052752.05,11511534380.8,9.324337005615234,22373517.0,105915,111230,5,1/1,1.0,消费电子,涨停,akshare:stock_zt_pool_em,,,
104,000823,超声电子,10.021905899047852,20.09,1429123600,11939600990.66,11940057877.44,12.409170150756836,99630287.0,110403,110403,0,1/1,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
105,603800,洪田股份,9.995590209960938,74.83,743054064,15564640000.0,15564640000.0,4.9271016120910645,30597987.0,110559,110559,0,1/1,1.0,专用设备,涨停,akshare:stock_zt_pool_em,,,
106,002106,莱宝高科,10.032894134521484,13.38,506743824,9431594995.08,9443820220.800001,5.527505397796631,57298913.0,110618,110618,0,1/1,1.0,光学光电,涨停,akshare:stock_zt_pool_em,,,
107,688090,瑞松科技,19.998050689697266,123.13,1515282656,15067425980.32,15067425980.32,10.406671524047852,12981719.0,110637,135556,17,1/1,1.0,自动化设,涨停,akshare:stock_zt_pool_em,,,
108,000032,深桑达Ａ,9.989429473876953,20.81,2028997072,23680931659.539997,25287881482.719997,8.829917907714844,121867022.0,110748,131827,7,3/3,3.0,专业工程,涨停,akshare:stock_zt_pool_em,,,
109,001256,炜冈科技,9.983007431030273,25.89,143429926,2767966126.62,3692239126.62,5.396000385284424,25817508.0,110751,110751,0,1/1,1.0,专用设备,涨停,akshare:stock_zt_pool_em,,,
110,300548,长芯博创,20.001785278320312,268.84,6708117760,73221834491.51999,79214949116.15999,9.652972221374512,51716750.0,111130,112354,1,1/1,1.0,通信设备,涨停,akshare:stock_zt_pool_em,,,
111,603011,合锻智能,9.996786117553711,34.22,1464313440,16918862034.14,16918861863.039999,8.865848541259766,85070338.0,111341,111341,0,4/2,1.0,专用设备,涨停,akshare:stock_zt_pool_em,,,
112,002281,光迅科技,10.001463890075684,225.47,12954066176,175857615471.44,181881183607.2,7.6115803718566895,351425207.0,111442,111442,0,1/1,1.0,通信设备,涨停,akshare:stock_zt_pool_em,,,
113,603681,永冠新材,10.0,27.39,809335344,6511748723.7,6511748723.7,12.966959953308105,35890431.0,111931,130001,4,1/1,1.0,化学制品,涨停,akshare:stock_zt_pool_em,,,
114,002384,东山精密,10.002298355102539,239.31,19726067200,331760651531.13,438321999440.16003,6.158535957336426,266512128.0,112618,133718,11,1/1,1.0,元件,涨停,akshare:stock_zt_pool_em,,,
115,000070,特发信息,10.0,18.81,2212727440,16115035641.21,16334471276.64,14.096320152282715,33387750.0,112709,131806,8,1/1,1.0,通信设备,涨停,akshare:stock_zt_pool_em,,,
116,301196,唯科科技,19.99749755859375,191.78,1598801392,15911198575.98,24032668481.86,10.632898330688477,25846190.0,130000,130000,0,1/1,1.0,塑料,涨停,akshare:stock_zt_pool_em,,,
117,000777,中核科技,9.98781967163086,18.06,164843166,6924399535.62,6924521855.999999,2.4689643383026123,54792234.0,130009,130009,0,1/1,1.0,通用设备,涨停,akshare:stock_zt_pool_em,,,
118,002975,博杰股份,10.002471923828125,133.51,1358639936,18338137746.89,27787534563.359997,7.617495059967041,64740334.0,130015,131451,2,1/1,1.0,自动化设,涨停,akshare:stock_zt_pool_em,,,
119,603256,宏和科技,10.000480651855469,228.68,3670839360,201176084700.0,206860828928.64,1.8983057737350464,25817972.0,130242,140906,27,1/1,1.0,玻璃玻纤,涨停,akshare:stock_zt_pool_em,,,
120,603052,可川科技,9.99636459350586,90.78,467520016,17057315259.960001,17057315259.960001,2.859328269958496,92486664.0,130306,130306,0,1/1,1.0,消费电子,涨停,akshare:stock_zt_pool_em,,,
121,300489,光智科技,19.99877166748047,195.43,1969587200,27096072641.83,27195615694.05,7.699146747589111,25542701.0,130318,142239,14,1/1,1.0,光学光电,涨停,akshare:stock_zt_pool_em,,,
122,002903,宇环数控,10.008818626403809,49.9,632202320,5322615885.099999,7819230200.0,12.224571228027344,12130690.0,130330,134824,4,1/1,1.0,通用设备,涨停,akshare:stock_zt_pool_em,,,
123,600520,三佳科技,10.003718376159668,29.58,365971520,4686359400.0,4686359400.0,8.165802955627441,14296014.0,130432,130432,0,1/1,1.0,专用设备,涨停,akshare:stock_zt_pool_em,,,
124,002428,云南锗业,10.004335403442383,101.49,9606093056,66276585581.25,66285148800.0,15.038405418395996,265630081.0,130733,131442,1,3/2,1.0,小金属,涨停,akshare:stock_zt_pool_em,,,
